id,danji_name,sido,sigungu,dong,address2,new_address,house_count,dong_count,build_ym
3,강변,서울특별시,서초구,잠원동,53-15,서울 서초구 잠원로 166-17,360세대,4개동,1987년 07월
4,강변우성,서울특별시,광진구,구의동,546-7,서울 광진구 구의강변로 42,354세대,3개동,1992년 12월
5,강변현대,서울특별시,성동구,성수동2가,400,서울 성동구 둘레11길 1,123세대,2개동,1994년 03월
26,개나리4차,서울특별시,강남구,역삼동,712,서울 강남구 언주로 406,264세대,3개동,1979년 02월
30,개포럭키,서울특별시,강남구,도곡동,462,서울 강남구 남부순환로 2740,128세대,2개동,1986년 10월
31,개포우성1차,서울특별시,강남구,대치동,503,서울 강남구 선릉로 120,690세대,9개동,1983년 12월
32,개포우성4차,서울특별시,강남구,도곡동,465,서울 강남구 언주로 117,459세대,8개동,1985년 12월
33,개포우성5차,서울특별시,강남구,도곡동,463-1,서울 강남구 언주로29길 34,181세대,4개동,1986년 10월
34,개포한신,서울특별시,강남구,도곡동,464,서울 강남구 언주로 123,620세대,8개동,1985년 12월
35,방화개화,서울특별시,강서구,방화동,819,서울 강서구 금낭화로 167,462세대,7개동,1994년 03월
40,건영,서울특별시,강남구,청담동,108,서울 강남구 도산대로89길 49,240세대,2개동,1994년 09월
42,송정건영,서울특별시,성동구,송정동,90,서울 성동구 동일로 263,447세대,3개동,2000년 05월
43,건영,서울특별시,송파구,문정동,72-3,서울 송파구 새말로8길 12,545세대,5개동,1993년 01월
44,건영,서울특별시,영등포구,신길동,364,서울 영등포구 도림로 313,386세대,4개동,1985년 12월
47,건영1차,서울특별시,관악구,신림동,746-43,서울 관악구 문성로 74,492세대,3개동,1984년 10월
48,건영1차,서울특별시,금천구,시흥동,992-2,서울 금천구 시흥대로59길 35,260세대,3개동,1982년 12월
51,건영2차,서울특별시,관악구,신림동,721-2,서울 관악구 난곡로35길 28-5,338세대,4개동,1988년 01월
52,건영2차,서울특별시,금천구,시흥동,384-12,서울 금천구 독산로10길 96,619세대,3개동,1989년 10월
53,건영2차,서울특별시,노원구,중계동,515-2,서울 노원구 덕릉로 517,742세대,6개동,1991년 01월
54,건영3차,서울특별시,관악구,신림동,1703-1,서울 관악구 신림로3길 40,783세대,7개동,1996년 06월
55,건영3차,서울특별시,노원구,중계동,360-15,서울 노원구 노원로22길 71,948세대,12개동,1995년 12월
56,건영4차,서울특별시,관악구,신림동,1702-1,서울 관악구 신림로48길 17-20,236세대,3개동,1997년 05월
62,방화경남,서울특별시,강서구,방화동,207-5,서울 강서구 양천로30길 108,140세대,1개동,1991년 05월
63,경남1차,서울특별시,구로구,고척동,325,서울 구로구 경인로47길 150,163세대,1개동,1998년 01월
64,반포경남,서울특별시,서초구,반포동,1-8,서울 서초구 신반포로 137,"1,056세대",10개동,1978년 11월
65,방배경남,서울특별시,서초구,방배동,1028-1,서울 서초구 방배로 21,450세대,7개동,1980년 05월
73,경동미주,서울특별시,동대문구,제기동,892-68,서울 동대문구 정릉천동로 80,228세대,3개동,1977년 06월
79,고덕삼환,서울특별시,강동구,명일동,41,서울 강동구 고덕로62길 126,120세대,1개동,1987년 06월
80,고덕현대,서울특별시,강동구,명일동,56,서울 강동구 동남로71길 37,524세대,7개동,1986년 02월
81,공덕현대,서울특별시,마포구,공덕동,370-9,서울 마포구 마포대로11길 73,183세대,2개동,1989년 08월
